Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",2,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Гендерний аналіз для потреб громади
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",4,Посадові особи місцевого самоврядування,1,Онлайн оцінювання стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,Академія гендерно орієнтованого управління,2,"Посадові особи місцевого самоврядування, представники громадськості",1,Оцінювання стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,Посадові особи місцевого самоврядування,1,Тренінг гендерний аналіз для потреб громади
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,Публічні комунікації,9,Голови органів місцевого самоврядування та їх заступники,7,Тренінг з публічних комунікацій для голів громад 
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",2,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",15,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",12,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",8,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",6,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",6,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",6,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Фінальна оцінка стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,Посадові особи місцевого самоврядування,1,Тренінг з гендерного аналізу для потреб громади
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,"Посадові особи місцевого самоврядування керівного рівня, депутати місцевих рад",1,Четвертий поглиблений тренінг з гендерно орієнтованого бюджетування
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),4 квартал 2020,,,Комунікації та ІТ рішення,6,Посадові особи місцевого самоврядування,1,Як громаді створити якісний контент? частина 2
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",2,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Моніторингова оцінка виконання плану дій з покращення стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",3,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Моніторингова оцінка виконання плану дій з покращення стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",8,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Моніторингова оцінка виконання плану дій з покращення стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",2,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,Тренінг з публічних комунікацій для голів громад Чернігівської області
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Публічні комунікації,14,Голови органів місцевого самоврядування та їх заступники;,1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" (Коропська ТГ)"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" (Новгород-Сіверська ТГ)"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" (Тупичівська ТГ)"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" (Сосницька ТГ)"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",18,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" (Любецька ТГ)"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",11,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",10,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Вступний семінар програми ""Молодіжний працівник в ОТГ"" для Широківської ОТГ Запорізької області"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",19,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Вступний семінар програми ""Молодіжний працівник в ОТГ"" для Гуляйпільської ОТГ Запорізької області"
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",18,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",17,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",13,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" "
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" "
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",14,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" "
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",10,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Ознайомчий семінар ""Молодіжний працівник у ОТГ"" "
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",9,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,семінар з основ молодіжної роботи в громаді Програми «Молодіжний Працівник в громаді»- 2021
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",9,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,Моніторингова оцінка виконання плану дій з покращення стану гендерної рівності
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Навчання з впровадження гендерного підходу в управління, гендерного аналізу та гендерно орієнтованого бюджетування",9,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,"Інформаційний семінар ""Молодіжний працівник в ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",12,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,"Інформаційний семінар ""Молодіжний працівник в ОТГ"""
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,"Програма ""Молодіжний працівник в ОТГ""",20,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;
Представники громадськості
Медіа",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),1 квартал 2021,,,Академія гендерно орієнтованого управління,33,"Посадові особи місцевого самоврядування;
Депутати місцевих рад;",1,Академія гендерно орієнтованого управління Модуль 3.1
